group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Bits,array_bits,,,,948527.0,ns,3241005
Bits,array_bits,,,,1898786.0,ns,6482010
Bits,array_bits,,,,2784528.0,ns,9723015
Bits,array_bits,,,,4042401.0,ns,12964020
Bits,array_bits,,,,4924490.0,ns,16205025
Bits,array_bits,,,,6326941.0,ns,19446030
Bits,array_bits,,,,6708660.0,ns,22687035
Bits,array_bits,,,,7673090.0,ns,25928040
Bits,array_bits,,,,8505075.0,ns,29169045
Bits,array_bits,,,,9273450.0,ns,32410050
Bits,array_bits,,,,11826349.0,ns,35651055
Bits,array_bits,,,,11514611.0,ns,38892060
Bits,array_bits,,,,11985746.0,ns,42133065
Bits,array_bits,,,,13541501.0,ns,45374070
Bits,array_bits,,,,15286265.0,ns,48615075
Bits,array_bits,,,,15350025.0,ns,51856080
Bits,array_bits,,,,16360837.0,ns,55097085
Bits,array_bits,,,,19565797.0,ns,58338090
Bits,array_bits,,,,21240683.0,ns,61579095
Bits,array_bits,,,,20188017.0,ns,64820100
Bits,array_bits,,,,20745940.0,ns,68061105
Bits,array_bits,,,,21208198.0,ns,71302110
Bits,array_bits,,,,22062162.0,ns,74543115
Bits,array_bits,,,,22864613.0,ns,77784120
Bits,array_bits,,,,23700395.0,ns,81025125
Bits,array_bits,,,,24269459.0,ns,84266130
Bits,array_bits,,,,26162190.0,ns,87507135
Bits,array_bits,,,,27872668.0,ns,90748140
Bits,array_bits,,,,27612461.0,ns,93989145
Bits,array_bits,,,,29285851.0,ns,97230150
Bits,array_bits,,,,30428218.0,ns,100471155
Bits,array_bits,,,,32162081.0,ns,103712160
Bits,array_bits,,,,31411816.0,ns,106953165
Bits,array_bits,,,,35343866.0,ns,110194170
Bits,array_bits,,,,35500262.0,ns,113435175
Bits,array_bits,,,,34876055.0,ns,116676180
Bits,array_bits,,,,35355099.0,ns,119917185
Bits,array_bits,,,,36138314.0,ns,123158190
Bits,array_bits,,,,36712550.0,ns,126399195
Bits,array_bits,,,,38524681.0,ns,129640200
Bits,array_bits,,,,39092534.0,ns,132881205
Bits,array_bits,,,,39696527.0,ns,136122210
Bits,array_bits,,,,41505872.0,ns,139363215
Bits,array_bits,,,,42715637.0,ns,142604220
Bits,array_bits,,,,45922007.0,ns,145845225
Bits,array_bits,,,,46910890.0,ns,149086230
Bits,array_bits,,,,47582958.0,ns,152327235
Bits,array_bits,,,,46993288.0,ns,155568240
Bits,array_bits,,,,57892237.0,ns,158809245
Bits,array_bits,,,,48958370.0,ns,162050250
Bits,array_bits,,,,49787666.0,ns,165291255
Bits,array_bits,,,,49355137.0,ns,168532260
Bits,array_bits,,,,50850262.0,ns,171773265
Bits,array_bits,,,,51748223.0,ns,175014270
Bits,array_bits,,,,52382964.0,ns,178255275
Bits,array_bits,,,,54679040.0,ns,181496280
Bits,array_bits,,,,54741278.0,ns,184737285
Bits,array_bits,,,,56117851.0,ns,187978290
Bits,array_bits,,,,57709400.0,ns,191219295
Bits,array_bits,,,,59576028.0,ns,194460300
Bits,array_bits,,,,60269354.0,ns,197701305
Bits,array_bits,,,,62196465.0,ns,200942310
Bits,array_bits,,,,64677336.0,ns,204183315
Bits,array_bits,,,,70605143.0,ns,207424320
Bits,array_bits,,,,67019266.0,ns,210665325
Bits,array_bits,,,,69820899.0,ns,213906330
Bits,array_bits,,,,69449941.0,ns,217147335
Bits,array_bits,,,,66745115.0,ns,220388340
Bits,array_bits,,,,67709111.0,ns,223629345
Bits,array_bits,,,,68002592.0,ns,226870350
Bits,array_bits,,,,69969115.0,ns,230111355
Bits,array_bits,,,,71662937.0,ns,233352360
Bits,array_bits,,,,72936436.0,ns,236593365
Bits,array_bits,,,,71885406.0,ns,239834370
Bits,array_bits,,,,74205811.0,ns,243075375
Bits,array_bits,,,,78340295.0,ns,246316380
Bits,array_bits,,,,81716090.0,ns,249557385
Bits,array_bits,,,,100456196.0,ns,252798390
Bits,array_bits,,,,81675514.0,ns,256039395
Bits,array_bits,,,,89240638.0,ns,259280400
Bits,array_bits,,,,77968544.0,ns,262521405
Bits,array_bits,,,,78669590.0,ns,265762410
Bits,array_bits,,,,82687326.0,ns,269003415
Bits,array_bits,,,,83149331.0,ns,272244420
Bits,array_bits,,,,83369637.0,ns,275485425
Bits,array_bits,,,,87213671.0,ns,278726430
Bits,array_bits,,,,85682682.0,ns,281967435
Bits,array_bits,,,,87453637.0,ns,285208440
Bits,array_bits,,,,89599207.0,ns,288449445
Bits,array_bits,,,,90472173.0,ns,291690450
Bits,array_bits,,,,106752350.0,ns,294931455
Bits,array_bits,,,,106729603.0,ns,298172460
Bits,array_bits,,,,94350267.0,ns,301413465
Bits,array_bits,,,,90764063.0,ns,304654470
Bits,array_bits,,,,91856879.0,ns,307895475
Bits,array_bits,,,,92864796.0,ns,311136480
Bits,array_bits,,,,94688165.0,ns,314377485
Bits,array_bits,,,,100894478.0,ns,317618490
Bits,array_bits,,,,99409804.0,ns,320859495
Bits,array_bits,,,,98929503.0,ns,324100500
