group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Bits,array_bits_inline,,,,951648.0,ns,3226378
Bits,array_bits_inline,,,,1904092.0,ns,6452756
Bits,array_bits_inline,,,,2990944.0,ns,9679134
Bits,array_bits_inline,,,,4113429.0,ns,12905512
Bits,array_bits_inline,,,,5439207.0,ns,16131890
Bits,array_bits_inline,,,,5902410.0,ns,19358268
Bits,array_bits_inline,,,,6947930.0,ns,22584646
Bits,array_bits_inline,,,,7640431.0,ns,25811024
Bits,array_bits_inline,,,,10746465.0,ns,29037402
Bits,array_bits_inline,,,,9322111.0,ns,32263780
Bits,array_bits_inline,,,,12349206.0,ns,35490158
Bits,array_bits_inline,,,,14348886.0,ns,38716536
Bits,array_bits_inline,,,,12382931.0,ns,41942914
Bits,array_bits_inline,,,,13437770.0,ns,45169292
Bits,array_bits_inline,,,,16891954.0,ns,48395670
Bits,array_bits_inline,,,,15882194.0,ns,51622048
Bits,array_bits_inline,,,,17310364.0,ns,54848426
Bits,array_bits_inline,,,,17915498.0,ns,58074804
Bits,array_bits_inline,,,,17954774.0,ns,61301182
Bits,array_bits_inline,,,,19848106.0,ns,64527560
Bits,array_bits_inline,,,,19823228.0,ns,67753938
Bits,array_bits_inline,,,,21574159.0,ns,70980316
Bits,array_bits_inline,,,,22116457.0,ns,74206694
Bits,array_bits_inline,,,,23709800.0,ns,77433072
Bits,array_bits_inline,,,,24065466.0,ns,80659450
Bits,array_bits_inline,,,,26070538.0,ns,83885828
Bits,array_bits_inline,,,,26020443.0,ns,87112206
Bits,array_bits_inline,,,,26753146.0,ns,90338584
Bits,array_bits_inline,,,,28044346.0,ns,93564962
Bits,array_bits_inline,,,,28880759.0,ns,96791340
Bits,array_bits_inline,,,,28739231.0,ns,100017718
Bits,array_bits_inline,,,,30641466.0,ns,103244096
Bits,array_bits_inline,,,,33498233.0,ns,106470474
Bits,array_bits_inline,,,,32628356.0,ns,109696852
Bits,array_bits_inline,,,,34117334.0,ns,112923230
Bits,array_bits_inline,,,,34792520.0,ns,116149608
Bits,array_bits_inline,,,,35345507.0,ns,119375986
Bits,array_bits_inline,,,,36309370.0,ns,122602364
Bits,array_bits_inline,,,,36845618.0,ns,125828742
Bits,array_bits_inline,,,,38643677.0,ns,129055120
Bits,array_bits_inline,,,,39654758.0,ns,132281498
Bits,array_bits_inline,,,,40270976.0,ns,135507876
Bits,array_bits_inline,,,,41350280.0,ns,138734254
Bits,array_bits_inline,,,,43512182.0,ns,141960632
Bits,array_bits_inline,,,,43293230.0,ns,145187010
Bits,array_bits_inline,,,,44360596.0,ns,148413388
Bits,array_bits_inline,,,,49318113.0,ns,151639766
Bits,array_bits_inline,,,,47354668.0,ns,154866144
Bits,array_bits_inline,,,,48238749.0,ns,158092522
Bits,array_bits_inline,,,,49866823.0,ns,161318900
Bits,array_bits_inline,,,,49188962.0,ns,164545278
Bits,array_bits_inline,,,,51078334.0,ns,167771656
Bits,array_bits_inline,,,,50254163.0,ns,170998034
Bits,array_bits_inline,,,,50839205.0,ns,174224412
Bits,array_bits_inline,,,,52531597.0,ns,177450790
Bits,array_bits_inline,,,,54530566.0,ns,180677168
Bits,array_bits_inline,,,,53800005.0,ns,183903546
Bits,array_bits_inline,,,,55244765.0,ns,187129924
Bits,array_bits_inline,,,,55505233.0,ns,190356302
Bits,array_bits_inline,,,,56141978.0,ns,193582680
Bits,array_bits_inline,,,,59424991.0,ns,196809058
Bits,array_bits_inline,,,,58980305.0,ns,200035436
Bits,array_bits_inline,,,,61067883.0,ns,203261814
Bits,array_bits_inline,,,,63054962.0,ns,206488192
Bits,array_bits_inline,,,,64764319.0,ns,209714570
Bits,array_bits_inline,,,,71819672.0,ns,212940948
Bits,array_bits_inline,,,,66232163.0,ns,216167326
Bits,array_bits_inline,,,,65526282.0,ns,219393704
Bits,array_bits_inline,,,,65774842.0,ns,222620082
Bits,array_bits_inline,,,,67113380.0,ns,225846460
Bits,array_bits_inline,,,,68482196.0,ns,229072838
Bits,array_bits_inline,,,,68896059.0,ns,232299216
Bits,array_bits_inline,,,,70805908.0,ns,235525594
Bits,array_bits_inline,,,,71922821.0,ns,238751972
Bits,array_bits_inline,,,,72592893.0,ns,241978350
Bits,array_bits_inline,,,,72666893.0,ns,245204728
Bits,array_bits_inline,,,,76155709.0,ns,248431106
Bits,array_bits_inline,,,,77978133.0,ns,251657484
Bits,array_bits_inline,,,,80412868.0,ns,254883862
Bits,array_bits_inline,,,,81115908.0,ns,258110240
Bits,array_bits_inline,,,,78040458.0,ns,261336618
Bits,array_bits_inline,,,,78025093.0,ns,264562996
Bits,array_bits_inline,,,,78839099.0,ns,267789374
Bits,array_bits_inline,,,,80111096.0,ns,271015752
Bits,array_bits_inline,,,,82244481.0,ns,274242130
Bits,array_bits_inline,,,,83400298.0,ns,277468508
Bits,array_bits_inline,,,,83480049.0,ns,280694886
Bits,array_bits_inline,,,,83739308.0,ns,283921264
Bits,array_bits_inline,,,,84860762.0,ns,287147642
Bits,array_bits_inline,,,,90089459.0,ns,290374020
Bits,array_bits_inline,,,,90318793.0,ns,293600398
Bits,array_bits_inline,,,,93012160.0,ns,296826776
Bits,array_bits_inline,,,,94313577.0,ns,300053154
Bits,array_bits_inline,,,,89456108.0,ns,303279532
Bits,array_bits_inline,,,,90933239.0,ns,306505910
Bits,array_bits_inline,,,,90984193.0,ns,309732288
Bits,array_bits_inline,,,,93255049.0,ns,312958666
Bits,array_bits_inline,,,,102253819.0,ns,316185044
Bits,array_bits_inline,,,,102490722.0,ns,319411422
Bits,array_bits_inline,,,,96903789.0,ns,322637800
