group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Bits,simple_bits,,,,932195.0,ns,3094319
Bits,simple_bits,,,,1772392.0,ns,6188638
Bits,simple_bits,,,,2789816.0,ns,9282957
Bits,simple_bits,,,,3570530.0,ns,12377276
Bits,simple_bits,,,,5230596.0,ns,15471595
Bits,simple_bits,,,,5514072.0,ns,18565914
Bits,simple_bits,,,,6278238.0,ns,21660233
Bits,simple_bits,,,,7189376.0,ns,24754552
Bits,simple_bits,,,,8230275.0,ns,27848871
Bits,simple_bits,,,,9587715.0,ns,30943190
Bits,simple_bits,,,,10695217.0,ns,34037509
Bits,simple_bits,,,,10948634.0,ns,37131828
Bits,simple_bits,,,,11982869.0,ns,40226147
Bits,simple_bits,,,,13531245.0,ns,43320466
Bits,simple_bits,,,,13661033.0,ns,46414785
Bits,simple_bits,,,,17210272.0,ns,49509104
Bits,simple_bits,,,,19134376.0,ns,52603423
Bits,simple_bits,,,,19601465.0,ns,55697742
Bits,simple_bits,,,,20575048.0,ns,58792061
Bits,simple_bits,,,,23164342.0,ns,61886380
Bits,simple_bits,,,,23145315.0,ns,64980699
Bits,simple_bits,,,,23117366.0,ns,68075018
Bits,simple_bits,,,,21369398.0,ns,71169337
Bits,simple_bits,,,,21868311.0,ns,74263656
Bits,simple_bits,,,,25251043.0,ns,77357975
Bits,simple_bits,,,,24700217.0,ns,80452294
Bits,simple_bits,,,,26914472.0,ns,83546613
Bits,simple_bits,,,,26741434.0,ns,86640932
Bits,simple_bits,,,,26521326.0,ns,89735251
Bits,simple_bits,,,,32503025.0,ns,92829570
Bits,simple_bits,,,,31744797.0,ns,95923889
Bits,simple_bits,,,,30337953.0,ns,99018208
Bits,simple_bits,,,,31896585.0,ns,102112527
Bits,simple_bits,,,,31219986.0,ns,105206846
Bits,simple_bits,,,,34339914.0,ns,108301165
Bits,simple_bits,,,,32283990.0,ns,111395484
Bits,simple_bits,,,,38810424.0,ns,114489803
Bits,simple_bits,,,,40228900.0,ns,117584122
Bits,simple_bits,,,,36720301.0,ns,120678441
Bits,simple_bits,,,,37785917.0,ns,123772760
Bits,simple_bits,,,,39580375.0,ns,126867079
Bits,simple_bits,,,,39179808.0,ns,129961398
Bits,simple_bits,,,,40229345.0,ns,133055717
Bits,simple_bits,,,,41958388.0,ns,136150036
Bits,simple_bits,,,,43695233.0,ns,139244355
Bits,simple_bits,,,,44107016.0,ns,142338674
Bits,simple_bits,,,,44129137.0,ns,145432993
Bits,simple_bits,,,,44455173.0,ns,148527312
Bits,simple_bits,,,,45049132.0,ns,151621631
Bits,simple_bits,,,,46346449.0,ns,154715950
Bits,simple_bits,,,,47350846.0,ns,157810269
Bits,simple_bits,,,,47146932.0,ns,160904588
Bits,simple_bits,,,,48313750.0,ns,163998907
Bits,simple_bits,,,,49848931.0,ns,167093226
Bits,simple_bits,,,,50806226.0,ns,170187545
Bits,simple_bits,,,,51341097.0,ns,173281864
Bits,simple_bits,,,,54681128.0,ns,176376183
Bits,simple_bits,,,,54471532.0,ns,179470502
Bits,simple_bits,,,,56482993.0,ns,182564821
Bits,simple_bits,,,,71818008.0,ns,185659140
Bits,simple_bits,,,,56026140.0,ns,188753459
Bits,simple_bits,,,,56863367.0,ns,191847778
Bits,simple_bits,,,,58925974.0,ns,194942097
Bits,simple_bits,,,,59497039.0,ns,198036416
Bits,simple_bits,,,,62640973.0,ns,201130735
Bits,simple_bits,,,,61082324.0,ns,204225054
Bits,simple_bits,,,,62427304.0,ns,207319373
Bits,simple_bits,,,,65046769.0,ns,210413692
Bits,simple_bits,,,,64337635.0,ns,213508011
Bits,simple_bits,,,,62805757.0,ns,216602330
Bits,simple_bits,,,,66431453.0,ns,219696649
Bits,simple_bits,,,,67769243.0,ns,222790968
Bits,simple_bits,,,,68532265.0,ns,225885287
Bits,simple_bits,,,,70855459.0,ns,228979606
Bits,simple_bits,,,,73923025.0,ns,232073925
Bits,simple_bits,,,,70597245.0,ns,235168244
Bits,simple_bits,,,,70407676.0,ns,238262563
Bits,simple_bits,,,,71217143.0,ns,241356882
Bits,simple_bits,,,,71147482.0,ns,244451201
Bits,simple_bits,,,,72599198.0,ns,247545520
Bits,simple_bits,,,,75507556.0,ns,250639839
Bits,simple_bits,,,,76003137.0,ns,253734158
Bits,simple_bits,,,,77442198.0,ns,256828477
Bits,simple_bits,,,,78034915.0,ns,259922796
Bits,simple_bits,,,,78929723.0,ns,263017115
Bits,simple_bits,,,,80051470.0,ns,266111434
Bits,simple_bits,,,,81594268.0,ns,269205753
Bits,simple_bits,,,,84617497.0,ns,272300072
Bits,simple_bits,,,,95862069.0,ns,275394391
Bits,simple_bits,,,,82249736.0,ns,278488710
Bits,simple_bits,,,,82741029.0,ns,281583029
Bits,simple_bits,,,,85955258.0,ns,284677348
Bits,simple_bits,,,,88195382.0,ns,287771667
Bits,simple_bits,,,,86113060.0,ns,290865986
Bits,simple_bits,,,,87089303.0,ns,293960305
Bits,simple_bits,,,,89153983.0,ns,297054624
Bits,simple_bits,,,,88185798.0,ns,300148943
Bits,simple_bits,,,,94298701.0,ns,303243262
Bits,simple_bits,,,,97562369.0,ns,306337581
Bits,simple_bits,,,,103512748.0,ns,309431900
