group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Bits,simple_bits_inline,,,,972239.0,ns,3248712
Bits,simple_bits_inline,,,,1906032.0,ns,6497424
Bits,simple_bits_inline,,,,2786763.0,ns,9746136
Bits,simple_bits_inline,,,,3726666.0,ns,12994848
Bits,simple_bits_inline,,,,5224940.0,ns,16243560
Bits,simple_bits_inline,,,,5671694.0,ns,19492272
Bits,simple_bits_inline,,,,6808215.0,ns,22740984
Bits,simple_bits_inline,,,,7734723.0,ns,25989696
Bits,simple_bits_inline,,,,8639526.0,ns,29238408
Bits,simple_bits_inline,,,,10610263.0,ns,32487120
Bits,simple_bits_inline,,,,10884840.0,ns,35735832
Bits,simple_bits_inline,,,,11290254.0,ns,38984544
Bits,simple_bits_inline,,,,12204259.0,ns,42233256
Bits,simple_bits_inline,,,,14273200.0,ns,45481968
Bits,simple_bits_inline,,,,14518521.0,ns,48730680
Bits,simple_bits_inline,,,,15266053.0,ns,51979392
Bits,simple_bits_inline,,,,16742456.0,ns,55228104
Bits,simple_bits_inline,,,,17319701.0,ns,58476816
Bits,simple_bits_inline,,,,18850256.0,ns,61725528
Bits,simple_bits_inline,,,,20074199.0,ns,64974240
Bits,simple_bits_inline,,,,20793790.0,ns,68222952
Bits,simple_bits_inline,,,,21691768.0,ns,71471664
Bits,simple_bits_inline,,,,22976142.0,ns,74720376
Bits,simple_bits_inline,,,,24493069.0,ns,77969088
Bits,simple_bits_inline,,,,24684240.0,ns,81217800
Bits,simple_bits_inline,,,,25411349.0,ns,84466512
Bits,simple_bits_inline,,,,26529783.0,ns,87715224
Bits,simple_bits_inline,,,,27779643.0,ns,90963936
Bits,simple_bits_inline,,,,29578579.0,ns,94212648
Bits,simple_bits_inline,,,,30414344.0,ns,97461360
Bits,simple_bits_inline,,,,30070635.0,ns,100710072
Bits,simple_bits_inline,,,,31059608.0,ns,103958784
Bits,simple_bits_inline,,,,35165950.0,ns,107207496
Bits,simple_bits_inline,,,,33245975.0,ns,110456208
Bits,simple_bits_inline,,,,35233062.0,ns,113704920
Bits,simple_bits_inline,,,,35760339.0,ns,116953632
Bits,simple_bits_inline,,,,36904474.0,ns,120202344
Bits,simple_bits_inline,,,,37969060.0,ns,123451056
Bits,simple_bits_inline,,,,40208144.0,ns,126699768
Bits,simple_bits_inline,,,,42334694.0,ns,129948480
Bits,simple_bits_inline,,,,39403515.0,ns,133197192
Bits,simple_bits_inline,,,,41554280.0,ns,136445904
Bits,simple_bits_inline,,,,40825207.0,ns,139694616
Bits,simple_bits_inline,,,,41908327.0,ns,142943328
Bits,simple_bits_inline,,,,42988237.0,ns,146192040
Bits,simple_bits_inline,,,,44417924.0,ns,149440752
Bits,simple_bits_inline,,,,44683691.0,ns,152689464
Bits,simple_bits_inline,,,,53515968.0,ns,155938176
Bits,simple_bits_inline,,,,49208917.0,ns,159186888
Bits,simple_bits_inline,,,,48995631.0,ns,162435600
Bits,simple_bits_inline,,,,51730705.0,ns,165684312
Bits,simple_bits_inline,,,,50253439.0,ns,168933024
Bits,simple_bits_inline,,,,50215613.0,ns,172181736
Bits,simple_bits_inline,,,,52688332.0,ns,175430448
Bits,simple_bits_inline,,,,53546363.0,ns,178679160
Bits,simple_bits_inline,,,,54149186.0,ns,181927872
Bits,simple_bits_inline,,,,55298358.0,ns,185176584
Bits,simple_bits_inline,,,,58866636.0,ns,188425296
Bits,simple_bits_inline,,,,59594588.0,ns,191674008
Bits,simple_bits_inline,,,,67787619.0,ns,194922720
Bits,simple_bits_inline,,,,59800404.0,ns,198171432
Bits,simple_bits_inline,,,,60400985.0,ns,201420144
Bits,simple_bits_inline,,,,60341296.0,ns,204668856
Bits,simple_bits_inline,,,,61784942.0,ns,207917568
Bits,simple_bits_inline,,,,62615049.0,ns,211166280
Bits,simple_bits_inline,,,,64561353.0,ns,214414992
Bits,simple_bits_inline,,,,64341825.0,ns,217663704
Bits,simple_bits_inline,,,,65908436.0,ns,220912416
Bits,simple_bits_inline,,,,68804902.0,ns,224161128
Bits,simple_bits_inline,,,,70891303.0,ns,227409840
Bits,simple_bits_inline,,,,70044555.0,ns,230658552
Bits,simple_bits_inline,,,,73058184.0,ns,233907264
Bits,simple_bits_inline,,,,74551801.0,ns,237155976
Bits,simple_bits_inline,,,,73503077.0,ns,240404688
Bits,simple_bits_inline,,,,79181200.0,ns,243653400
Bits,simple_bits_inline,,,,73126277.0,ns,246902112
Bits,simple_bits_inline,,,,74884535.0,ns,250150824
Bits,simple_bits_inline,,,,74747023.0,ns,253399536
Bits,simple_bits_inline,,,,76250451.0,ns,256648248
Bits,simple_bits_inline,,,,80081116.0,ns,259896960
Bits,simple_bits_inline,,,,81582467.0,ns,263145672
Bits,simple_bits_inline,,,,79338412.0,ns,266394384
Bits,simple_bits_inline,,,,81429104.0,ns,269643096
Bits,simple_bits_inline,,,,82390419.0,ns,272891808
Bits,simple_bits_inline,,,,83297245.0,ns,276140520
Bits,simple_bits_inline,,,,88052799.0,ns,279389232
Bits,simple_bits_inline,,,,87226660.0,ns,282637944
Bits,simple_bits_inline,,,,98291238.0,ns,285886656
Bits,simple_bits_inline,,,,87101428.0,ns,289135368
Bits,simple_bits_inline,,,,88011125.0,ns,292384080
Bits,simple_bits_inline,,,,87328971.0,ns,295632792
Bits,simple_bits_inline,,,,90632753.0,ns,298881504
Bits,simple_bits_inline,,,,92505058.0,ns,302130216
Bits,simple_bits_inline,,,,94170778.0,ns,305378928
Bits,simple_bits_inline,,,,91084693.0,ns,308627640
Bits,simple_bits_inline,,,,93960179.0,ns,311876352
Bits,simple_bits_inline,,,,94763469.0,ns,315125064
Bits,simple_bits_inline,,,,113066448.0,ns,318373776
Bits,simple_bits_inline,,,,98161060.0,ns,321622488
Bits,simple_bits_inline,,,,95983021.0,ns,324871200
