group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Bits,vector_bits_inline,,,,1107466.0,ns,3177056
Bits,vector_bits_inline,,,,1953916.0,ns,6354112
Bits,vector_bits_inline,,,,3075122.0,ns,9531168
Bits,vector_bits_inline,,,,3941023.0,ns,12708224
Bits,vector_bits_inline,,,,7312561.0,ns,15885280
Bits,vector_bits_inline,,,,5912640.0,ns,19062336
Bits,vector_bits_inline,,,,9625162.0,ns,22239392
Bits,vector_bits_inline,,,,8024703.0,ns,25416448
Bits,vector_bits_inline,,,,9005157.0,ns,28593504
Bits,vector_bits_inline,,,,10821502.0,ns,31770560
Bits,vector_bits_inline,,,,11268186.0,ns,34947616
Bits,vector_bits_inline,,,,13922387.0,ns,38124672
Bits,vector_bits_inline,,,,12735328.0,ns,41301728
Bits,vector_bits_inline,,,,13751196.0,ns,44478784
Bits,vector_bits_inline,,,,15134536.0,ns,47655840
Bits,vector_bits_inline,,,,16274036.0,ns,50832896
Bits,vector_bits_inline,,,,18603989.0,ns,54009952
Bits,vector_bits_inline,,,,22803181.0,ns,57187008
Bits,vector_bits_inline,,,,22974655.0,ns,60364064
Bits,vector_bits_inline,,,,24014837.0,ns,63541120
Bits,vector_bits_inline,,,,22620401.0,ns,66718176
Bits,vector_bits_inline,,,,28926765.0,ns,69895232
Bits,vector_bits_inline,,,,26976309.0,ns,73072288
Bits,vector_bits_inline,,,,28021632.0,ns,76249344
Bits,vector_bits_inline,,,,28915315.0,ns,79426400
Bits,vector_bits_inline,,,,27035063.0,ns,82603456
Bits,vector_bits_inline,,,,31898587.0,ns,85780512
Bits,vector_bits_inline,,,,27977722.0,ns,88957568
Bits,vector_bits_inline,,,,33608467.0,ns,92134624
Bits,vector_bits_inline,,,,36297420.0,ns,95311680
Bits,vector_bits_inline,,,,30810205.0,ns,98488736
Bits,vector_bits_inline,,,,32237629.0,ns,101665792
Bits,vector_bits_inline,,,,35112721.0,ns,104842848
Bits,vector_bits_inline,,,,32952426.0,ns,108019904
Bits,vector_bits_inline,,,,33413181.0,ns,111196960
Bits,vector_bits_inline,,,,34011689.0,ns,114374016
Bits,vector_bits_inline,,,,37661804.0,ns,117551072
